gsm_id,srr_id,condition,treatment,replicate,sex,strain,cohort,comparison_group
GSM8294372,SRR29217587,control_shrna,Control_shRNA,1,female,C57BL6,optional,control
GSM8294373,SRR29217586,control_shrna,Control_shRNA,2,female,C57BL6,optional,control
GSM8294374,SRR29217585,control_shrna,Control_shRNA,3,female,C57BL6,optional,control
GSM8294375,SRR29217584,control_shrna,Control_shRNA,4,female,C57BL6,optional,control
GSM8294376,SRR29217583,esrra_shrna,Esrra_shRNA,1,female,C57BL6,optional,treated
GSM8294377,SRR29217582,esrra_shrna,Esrra_shRNA,2,female,C57BL6,optional,treated
GSM8294378,SRR29217581,esrra_shrna,Esrra_shRNA,3,female,C57BL6,optional,treated
